date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side,full_date,trade_date
3/04,3006,富邦-南屯,9666,222,17,205,1.03,4,buy,2026-03-05,2026-03-04
3/04,2379,中國信託,6160,49,3,46,1.05,7,buy,2026-03-05,2026-03-04
3/04,3034,港商野村,1560,76,15,61,1.57,5,buy,2026-03-05,2026-03-04
3/04,2345,摩根大通,8440,103,255,-152,2.98,4,sell,2026-03-05,2026-03-04
3/04,2345,統一-板橋,0035003800350050,38,2,36,0.71,5,buy,2026-03-05,2026-03-04
3/04,2345,法銀巴黎,8900,0,480,-480,9.41,1,sell,2026-03-05,2026-03-04
3/04,3006,元大證券,9800,1281,1638,-357,1.79,2,sell,2026-03-05,2026-03-04
3/04,2345,凱基,9200,61,125,-64,1.25,8,sell,2026-03-05,2026-03-04
3/04,2345,土銀,1030,30,1,29,0.57,7,buy,2026-03-05,2026-03-04
3/04,2345,群益金鼎,9100,39,156,-117,2.29,6,sell,2026-03-05,2026-03-04
3/04,3034,凱基,9200,149,129,20,0.52,10,buy,2026-03-05,2026-03-04
3/04,3006,美林,1440,266,115,151,0.76,5,buy,2026-03-05,2026-03-04
3/04,2345,港商野村,1560,28,95,-67,1.31,7,sell,2026-03-05,2026-03-04
3/04,2345,福邦證券,6480,32,0,32,0.63,6,buy,2026-03-05,2026-03-04
3/04,2345,兆豐-松德,0037003000300069,18,0,18,0.35,9,buy,2026-03-05,2026-03-04
3/04,3006,摩根大通,8440,762,371,391,1.96,3,buy,2026-03-05,2026-03-04
3/04,2345,元大證券,9800,303,340,-37,0.73,10,sell,2026-03-05,2026-03-04
3/04,3006,永豐金證券,0039004100300030,827,931,-104,0.52,6,sell,2026-03-05,2026-03-04
3/04,3034,中國信託,6160,37,4,33,0.85,8,buy,2026-03-05,2026-03-04
3/04,2379,凱基-和平,9255,3,34,-31,0.71,9,sell,2026-03-05,2026-03-04
3/04,3006,國泰證券,8880,112,61,51,0.26,15,buy,2026-03-05,2026-03-04
3/04,2345,兆豐-城中,0037003000300057,15,2,13,0.25,13,buy,2026-03-05,2026-03-04
3/04,3006,永豐金-竹北,0039004100390050,4,104,-100,0.5,7,sell,2026-03-05,2026-03-04
3/04,2345,國泰-館前,0038003800380041,31,15,16,0.31,11,buy,2026-03-05,2026-03-04
3/04,2379,新加坡商瑞銀,1650,263,164,99,2.27,5,buy,2026-03-05,2026-03-04
3/04,2379,永興-台中,5603,190,2,188,4.31,2,buy,2026-03-05,2026-03-04
3/04,2345,兆豐證券,7000,3,23,-20,0.39,13,sell,2026-03-05,2026-03-04
3/04,2379,香港上海匯豐,8960,4,93,-89,2.04,5,sell,2026-03-05,2026-03-04
3/04,3006,元富,0039004200300030,25,118,-93,0.47,9,sell,2026-03-05,2026-03-04
3/04,2345,富邦-仁愛,9676,28,10,18,0.35,10,buy,2026-03-05,2026-03-04
3/04,3006,凱基-台北,9268,1775,1982,-207,1.04,4,sell,2026-03-05,2026-03-04
3/04,3006,新加坡商瑞銀,1650,184,569,-385,1.93,1,sell,2026-03-05,2026-03-04
3/04,2345,港商麥格理,1360,9,203,-194,3.8,3,sell,2026-03-05,2026-03-04
3/04,3006,元富-緯城,0039004200320041,1,65,-64,0.32,12,sell,2026-03-05,2026-03-04
3/04,2345,國票證券,7790,0,18,-18,0.35,14,sell,2026-03-05,2026-03-04
3/04,3006,富邦-建國,9658,125,14,111,0.56,7,buy,2026-03-05,2026-03-04
3/04,2379,永豐金證券,0039004100300030,440,40,400,9.16,1,buy,2026-03-05,2026-03-04
3/04,2345,大和國泰,8890,25,0,25,0.49,8,buy,2026-03-05,2026-03-04
3/04,2379,法銀巴黎,8900,2,54,-52,1.19,7,sell,2026-03-05,2026-03-04
3/04,2379,永豐金-匯立,0039004100380031,2,70,-68,1.56,6,sell,2026-03-05,2026-03-04
3/04,2345,凱基-台北,9268,463,273,190,3.72,3,buy,2026-03-05,2026-03-04
3/04,3034,新光,8560,8,90,-82,2.11,6,sell,2026-03-05,2026-03-04
3/04,2412,元大-新盛,9869,5,50,-45,0.19,13,sell,2026-03-05,2026-03-04
3/04,3006,第一金-忠孝,0035003300380044,123,26,97,0.49,9,buy,2026-03-05,2026-03-04
